2013-03-06 15:46:54 235ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:46:54 554ms | Event (core/after_page_processed) triggered.
2013-03-06 15:47:22 278ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:47:22 650ms | Event (core/after_page_processed) triggered.
2013-03-06 15:49:34 228ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:49:34 619ms | Event (core/after_page_processed) triggered.
2013-03-06 15:50:27 352ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:50:27 723ms | Event (core/after_page_processed) triggered.
2013-03-06 15:56:31 411ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:56:31 746ms | Event (core/after_page_processed) triggered.
2013-03-06 15:57:25 815ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:57:26 196ms | Event (core/after_page_processed) triggered.
2013-03-06 15:57:54 442ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:57:54 763ms | Event (core/after_page_processed) triggered.
2013-03-06 15:58:15 150ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:58:15 490ms | Event (core/after_page_processed) triggered.
2013-03-06 15:58:39 260ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:58:39 594ms | Event (core/after_page_processed) triggered.
2013-03-06 16:03:33 28ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:03:33 373ms | Event (core/after_page_processed) triggered.
2013-03-06 16:04:04 416ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:04:04 788ms | Event (core/after_page_processed) triggered.
2013-03-06 16:04:36 97ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:04:36 449ms | Event (core/after_page_processed) triggered.
2013-03-06 16:04:51 607ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:04:51 946ms | Event (core/after_page_processed) triggered.
2013-03-06 16:04:57 514ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:04:57 917ms | Event (core/after_page_processed) triggered.
2013-03-06 16:05:33 567ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:05:34 311ms | Event (core/after_page_processed) triggered.
2013-03-06 16:07:15 68ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:07:15 715ms | Event (core/after_page_processed) triggered.
2013-03-06 16:07:35 68ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:07:35 704ms | Event (core/after_page_processed) triggered.
2013-03-06 16:07:57 512ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:07:58 216ms | Event (core/after_page_processed) triggered.
2013-03-06 16:08:27 837ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:08:28 483ms | Event (core/after_page_processed) triggered.
2013-03-06 16:09:06 208ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:09:06 926ms | Event (core/after_page_processed) triggered.
2013-03-06 16:09:22 444ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:09:23 201ms | Event (core/after_page_processed) triggered.
2013-03-06 16:10:15 687ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:10:16 355ms | Event (core/after_page_processed) triggered.
2013-03-06 16:10:25 649ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:10:26 369ms | Event (core/after_page_processed) triggered.
2013-03-06 16:10:36 58ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:10:36 700ms | Event (core/after_page_processed) triggered.
2013-03-06 16:10:43 214ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:10:43 911ms | Event (core/after_page_processed) triggered.
2013-03-06 16:10:59 697ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:11:00 363ms | Event (core/after_page_processed) triggered.
2013-03-06 16:12:42 915ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:12:43 696ms | Event (core/after_page_processed) triggered.
2013-03-06 16:13:16 530ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 16:13:17 202ms | Event (core/after_page_processed) triggered.
2013-03-06 18:21:05 389ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 18:21:18 469ms | Event (core/after_page_processed) triggered.
2013-03-06 18:45:53 315ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 18:45:54 535ms | Event (core/after_page_processed) triggered.
2013-03-06 18:46:03 147ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 18:46:04 227ms | Event (core/after_page_processed) triggered.
2013-03-06 18:46:35 856ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 18:46:36 829ms | Event (core/after_page_processed) triggered.
2013-03-06 18:46:46 932ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 18:46:47 968ms | Event (core/after_page_processed) triggered.
2013-03-06 18:47:00 18ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 18:47:01 202ms | Event (core/after_page_processed) triggered.
2013-03-06 18:47:23 494ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 18:47:24 572ms | Event (core/after_page_processed) triggered.
2013-03-06 18:47:39 915ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 18:47:40 958ms | Event (core/after_page_processed) triggered.
2013-03-06 18:47:47 664ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 18:47:48 768ms | Event (core/after_page_processed) triggered.
2013-03-06 18:48:47 454ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 18:48:48 483ms | Event (core/after_page_processed) triggered.
2013-03-06 21:24:09 72ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 21:24:12 726ms | Event (core/after_page_processed) triggered.
2013-03-06 21:24:37 233ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 21:24:37 927ms | Event (core/after_page_processed) triggered.
2013-03-06 21:24:41 793ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 21:24:42 540ms | Event (core/after_page_processed) triggered.
2013-03-06 21:24:59 80ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 21:24:59 712ms | Event (core/after_page_processed) triggered.
2013-03-06 21:25:02 705ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 21:25:03 354ms | Event (core/after_page_processed) triggered.
2013-03-06 21:25:15 397ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 21:25:16 19ms | Event (core/after_page_processed) triggered.
2013-03-06 21:25:19 435ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 21:25:20 133ms | Event (core/after_page_processed) triggered.
2013-03-06 21:25:24 283ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 21:25:24 892ms | Event (core/after_page_processed) triggered.
2013-03-06 21:26:51 322ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 21:26:51 999ms | Event (core/after_page_processed) triggered.
2013-03-06 21:27:05 320ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 21:27:06 10ms | Event (core/after_page_processed) triggered.
2013-03-06 22:01:10 884ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 22:01:11 528ms | Event (core/after_page_processed) triggered.
2013-03-06 22:06:22 110ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 22:06:22 807ms | Event (core/after_page_processed) triggered.
2013-03-06 22:10:20 68ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 22:10:20 645ms | Event (core/after_page_processed) triggered.
2013-03-06 22:10:41 49ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 22:10:41 719ms | Event (core/after_page_processed) triggered.
